title,bestSeller,amazonPrime,score,total_reviews,rating,asin,url,brand1,brand2,spec,brand
6 x 50 ct TRUE METRIX® NFRS Test Strips (300 Test Strips),False,True,15393.6,3207,4.8,B01LW1A51V,https://www.amazon.com/dp/B01LW1A51V,6,x,50 ct TRUE METRIX® NFRS Test Strips (300 Test Strips),TRUE METRIX®
"AUVON High-Tech Blood Sugar Test Kit, Diabetes Glucose Monitor with 100 Glucometer Strips, 100 Lancets and I-QARE DS-W Blo...",False,True,14582.0,3170,4.6,B081ZY1LHV,https://www.amazon.com/dp/B081ZY1LHV,AUVON,High-Tech,"Blood Sugar Test Kit, Diabetes Glucose Monitor with 100 Glucometer Strips, 100 Lancets and I-QARE DS-W Blo...",AUVON High-Tech
OneTouch Verio Test Strips for Diabetes - 30 Count | Diabetic Test Strips for Blood Sugar Monitor | at Home Self Glucose M...,False,True,13606.5,2895,4.7,B08FXRYSPG,https://www.amazon.com/dp/B08FXRYSPG,OneTouch,Verio,Test Strips for Diabetes - 30 Count | Diabetic Test Strips for Blood Sugar Monitor | at Home Self Glucose M...,OneTouch Verio
The CONTOUR NEXT ONE Blood Glucose Monitoring System,False,False,13564.2,2886,4.7,B06W53ZLTK,https://www.amazon.com/dp/B06W53ZLTK,The,CONTOUR,NEXT ONE Blood Glucose Monitoring System,The CONTOUR
"Contour Next EZ Diabetes Testing Kit | Contour Next EZ Blood Glucose Meter, 100 Contour Next Blood Glucose Test Strips, 10...",False,True,12811.0,2785,4.6,B00NG0MSPQ,https://www.amazon.com/dp/B00NG0MSPQ,Contour,Next,"EZ Diabetes Testing Kit | Contour Next EZ Blood Glucose Meter, 100 Contour Next Blood Glucose Test Strips, 10...",Contour Next
Care Touch Multi Colored Diabetic Lancets 30 Gauge - Lancets for Diabetes Testing and Blood Testing (200 Co...,False,True,13161.6,2742,4.8,B071RYXFG8,https://www.amazon.com/dp/B071RYXFG8,Care,Touch,Multi Colored Diabetic Lancets 30 Gauge - Lancets for Diabetes Testing and Blood Testing (200 Co...,Care Touch
"Oh’Care Lite Blood Sugar Test Kit – Blood Glucose Meter with Strips and Lancets, Lancing Device, Log, and Case - One Touch...",False,True,12019.5,2671,4.5,B084WN1HK7,https://www.amazon.com/dp/B084WN1HK7,Oh’Care,Lite,"Blood Sugar Test Kit – Blood Glucose Meter with Strips and Lancets, Lancing Device, Log, and Case - One Touch...",Oh’Care Lite
OneTouch Verio Test Strips for Diabetes Value Pack - 90 Count | Diabetic Test Strips for Blood Sugar Monitor | at Home Sel...,False,False,11880.0,2475,4.8,B08L47PMX6,https://www.amazon.com/dp/B08L47PMX6,OneTouch,Verio,Test Strips for Diabetes Value Pack - 90 Count | Diabetic Test Strips for Blood Sugar Monitor | at Home Sel...,OneTouch Verio
Accu-Chek Instant glucometer with 10 Test Strips Free (White),False,False,10522.1,2447,4.3,B07RMYD9SC,https://www.amazon.com/dp/B07RMYD9SC,Accu-Chek,Instant,glucometer with 10 Test Strips Free (White),Accu-Chek Instant
Prodigy No Coding Blood Glucose Test Strips (50 ct),False,True,11376.0,2370,4.8,B001AXVF3M,https://www.amazon.com/dp/B001AXVF3M,Prodigy,No,Coding Blood Glucose Test Strips (50 ct),Prodigy No
3 x 50ct TRUE METRIX® NFRS Test Strips (150 Test Strips),False,True,10636.8,2216,4.8,B06XHXXCVV,https://www.amazon.com/dp/B06XHXXCVV,3,x,50ct TRUE METRIX® NFRS Test Strips (150 Test Strips),3 x
Care Touch Blood Glucose Test Strips for Diabetes I For Use with Care Touch Blood Sugar Monitor - 1 Box of ...,False,True,9898.2,2106,4.7,B076VSWYZF,https://www.amazon.com/dp/B076VSWYZF,Care,Touch,Blood Glucose Test Strips for Diabetes I For Use with Care Touch Blood Sugar Monitor - 1 Box of ...,Care Touch
2 x 50ct TRUE METRIX® NFRS Test Strips (100 Test Strips),False,True,9384.0,1955,4.8,B08L43FQ1S,https://www.amazon.com/dp/B08L43FQ1S,2,x,50ct TRUE METRIX® NFRS Test Strips (100 Test Strips),2 x
"CareSens N Blood Diabetes Testing Kit with 100 Test Strips, 100 Lancets (30G), 1 Glucose Meter, 1 Control Solution, 1 Lanc...",False,True,8441.0,1835,4.6,B082RSBPT4,https://www.amazon.com/dp/B082RSBPT4,CareSens,N,"Blood Diabetes Testing Kit with 100 Test Strips, 100 Lancets (30G), 1 Glucose Meter, 1 Control Solution, 1 Lanc...",CareSens N
On Call Express Blood Glucose Test Strips (50 Count),False,True,7896.0,1680,4.7,B00NOKWZLK,https://www.amazon.com/dp/B00NOKWZLK,On,Call,Express Blood Glucose Test Strips (50 Count),On Call
Prodigy Test Strip Bundle (300ct),False,False,7852.8,1636,4.8,B01F69L0U8,https://www.amazon.com/dp/B01F69L0U8,Prodigy,Test,Strip Bundle (300ct),Prodigy Test
The CONTOUR NEXT ONE Blood Glucose Monitoring System All-in-One Kit for Diabetes,False,True,7595.2,1616,4.7,B08FV1SVSW,https://www.amazon.com/dp/B08FV1SVSW,The,CONTOUR,NEXT ONE Blood Glucose Monitoring System All-in-One Kit for Diabetes,The CONTOUR
5 x 50ct TRUE METRIX® NFRS Test Strips (250 Test Strips),False,True,7300.8,1521,4.8,B079NSYQN3,https://www.amazon.com/dp/B079NSYQN3,5,x,50ct TRUE METRIX® NFRS Test Strips (250 Test Strips),5 x
"AUVON Lancing Device with Less Pain Design, Blood Sample Pen and Twist Top 100pcs 30 Gauge Lancets for Blood Sugar Level M...",False,True,6992.0,1520,4.6,B07P4612JM,https://www.amazon.com/dp/B07P4612JM,AUVON,Lancing,"Device with Less Pain Design, Blood Sample Pen and Twist Top 100pcs 30 Gauge Lancets for Blood Sugar Level M...",AUVON Lancing
"iHealth Blood Glucose Test Strips (50 Count), No Coding Blood Sugar Test, Eligible for FSA Reimbursement, Precision Sugar ...",False,True,6821.8,1483,4.6,B06XRKP8JW,https://www.amazon.com/dp/B06XRKP8JW,iHealth,Blood,"Glucose Test Strips (50 Count), No Coding Blood Sugar Test, Eligible for FSA Reimbursement, Precision Sugar ...",iHealth Blood
"Contour Next ONE Blood Glucose Kit | Contour Next ONE Bluetooth Meter, 100 Contour Next Blood Glucose Test Strips, 100 O'W...",False,True,6628.6,1441,4.6,B075FC5BJL,https://www.amazon.com/dp/B075FC5BJL,Contour,Next,"ONE Blood Glucose Kit | Contour Next ONE Bluetooth Meter, 100 Contour Next Blood Glucose Test Strips, 100 O'W...",Contour Next
