asin,url,score,sponsored,amazonChoice,bestSeller,amazonPrime,title,thumbnail,position.page,position.position,position.global_position,price.discounted,price.current_price,price.currency,price.before_price,price.savings_amount,price.savings_percent,reviews.total_reviews,reviews.rating
B09KC4TXZ7,https://www.amazon.com/dp/B09KC4TXZ7,364.00,False,False,False,True,"Sponsored Ad - Blood Sugar Test Kit, Diabetes Testing Kit with 100 Test Strips and 100 Lancets, Blood Glucose Monitor Kit ...",https://m.media-amazon.com/images/I/71fj8T3pULL._AC_UL320_.jpg,1,59,55,False,25.99,USD,0.0,0.0,0.0,91,4.0
B07K6K7LJ4,https://www.amazon.com/dp/B07K6K7LJ4,352.80,False,False,False,True,"Sponsored Ad - Oh’Care Lite Blood Sugar Testing Monitor – Glucose Test Strips, Lancets, and Control Solution for for Blood...",https://m.media-amazon.com/images/I/71JaagffDfL._AC_UL320_.jpg,1,60,56,False,42.75,USD,0.0,0.0,0.0,72,4.9
B08FXRYSPG,https://www.amazon.com/dp/B08FXRYSPG,13606.50,False,False,False,True,Sponsored Ad - OneTouch Verio Test Strips for Diabetes - 30 Count | Diabetic Test Strips for Blood Sugar Monitor | at Home...,https://m.media-amazon.com/images/I/716BlYUe9gL._AC_UL320_.jpg,1,1,1,False,0.0,USD,0.0,0.0,0.0,2895,4.7
B087NPJX1W,https://www.amazon.com/dp/B087NPJX1W,28358.40,False,False,False,False,Sponsored Ad - Accu-Chek Guide Test Strips for Diabetic Blood Glucose Testing (Pack of 100),https://m.media-amazon.com/images/I/71imFW8YsAL._AC_UL320_.jpg,1,2,2,False,0.0,USD,0.0,0.0,0.0,5908,4.8
B08L47PMX6,https://www.amazon.com/dp/B08L47PMX6,11880.00,False,False,False,True,Sponsored Ad - OneTouch Verio Test Strips for Diabetes Value Pack - 90 Count | Diabetic Test Strips for Blood Sugar Monito...,https://m.media-amazon.com/images/I/710wyyf1QDL._AC_UL320_.jpg,1,3,3,False,0.0,USD,0.0,0.0,0.0,2475,4.8
B095L2PPKW,https://www.amazon.com/dp/B095L2PPKW,418.60,False,False,False,False,"Ascensia Contour Next On The Go Blood Glucose Test Strips, 15 Count",https://m.media-amazon.com/images/I/71kc+hy8xWS._AC_UL320_.jpg,1,5,5,True,0.0,USD,9.99,9.99,100.0,91,4.6
B07K8X1F4Q,https://www.amazon.com/dp/B07K8X1F4Q,615.70,False,False,False,True,Diathrive Blood Glucose Test Strips for Diabetes – 4 Second Results from 4 µm Drop of Blood – Diabetic Testing Strips for ...,https://m.media-amazon.com/images/I/5157sy-JdRL._AC_UL320_.jpg,1,6,6,False,0.0,USD,0.0,0.0,0.0,131,4.7
B06XD1SSJ7,https://www.amazon.com/dp/B06XD1SSJ7,775.50,False,False,False,False,"McKesson 06-R3051-41 True Metrix Self Monitoring Blood Glucose Test Strip, Box of 100",https://m.media-amazon.com/images/I/71nS0yoLR4S._AC_UL320_.jpg,1,7,7,False,0.0,USD,0.0,0.0,0.0,165,4.7
B077CX2R3B,https://www.amazon.com/dp/B077CX2R3B,4167.60,False,False,False,True,Optiums Test Strips 100 Strips,https://m.media-amazon.com/images/I/513HTdS4hcL._AC_UL320_.jpg,1,8,8,False,0.0,USD,0.0,0.0,0.0,906,4.6
B005QZ70X4,https://www.amazon.com/dp/B005QZ70X4,1564.80,False,False,False,False,100 EASYMax Blood Glucose Test Strips(2 Boxes of 50),https://m.media-amazon.com/images/I/81gbZOdDZLL._AC_UL320_.jpg,1,9,9,True,0.0,USD,18.99,18.99,100.0,326,4.8
B07RS5C3QT,https://www.amazon.com/dp/B07RS5C3QT,1592.50,False,False,False,True,Embrace Blood Glucose Test Strips 200Ct,https://m.media-amazon.com/images/I/51FQyvKOHIL._AC_UL320_.jpg,1,10,10,False,0.0,USD,0.0,0.0,0.0,325,4.9
B00ZYBBPIG,https://www.amazon.com/dp/B00ZYBBPIG,3796.80,False,False,False,True,Omnis Health Embrace Blood Glucose Test Strips 100ct,https://m.media-amazon.com/images/I/61x8fvkOI5L._AC_UL320_.jpg,1,11,11,False,0.0,USD,0.0,0.0,0.0,791,4.8
B01CV2WJS0,https://www.amazon.com/dp/B01CV2WJS0,200.90,False,False,False,True,"FreeStyle Lite Blood Glucose Test Strips - 50 ct, Pack of 12",https://m.media-amazon.com/images/I/81OTk0ajROS._AC_UL320_.jpg,1,12,12,True,0.0,USD,297.6,297.6,100.0,41,4.9
B07L9F325J,https://www.amazon.com/dp/B07L9F325J,1660.80,False,False,False,True,Care Touch Blood Glucose Test Strips (100 Count) with 100 30-Gauge Lancets,https://m.media-amazon.com/images/I/71ashEsIa-L._AC_UL320_.jpg,1,13,13,False,0.0,USD,0.0,0.0,0.0,346,4.8
B07Z6LG1W7,https://www.amazon.com/dp/B07Z6LG1W7,1113.60,False,False,False,False,Test Strips for Prodigy Blood Glucose Monitors - 200 Strips,https://m.media-amazon.com/images/I/71ItYMAJx2L._AC_UL320_.jpg,1,14,14,False,0.0,USD,0.0,0.0,0.0,232,4.8
B0186CVMMS,https://www.amazon.com/dp/B0186CVMMS,206.40,False,False,False,True,On Call Express Blood Glucose Test Strips Bundle Deal {300},https://m.media-amazon.com/images/I/51yoKp-H0yL._AC_UL320_.jpg,1,15,15,False,0.0,USD,0.0,0.0,0.0,43,4.8
B01AK8YDE0,https://www.amazon.com/dp/B01AK8YDE0,2119.70,False,False,False,True,PetTest Diabetes Blood Glucose Tests Strips for Dogs and Cats for use with PetTest Glucose Monitor (50 Strips),https://m.media-amazon.com/images/I/71G3imbXQwL._AC_UL320_.jpg,1,16,16,False,0.0,USD,0.0,0.0,0.0,451,4.7
B089MZNBLJ,https://www.amazon.com/dp/B089MZNBLJ,625.10,False,False,False,True,"CVS Health Advanced Glucose Meter Test Strips, 200CT …",https://m.media-amazon.com/images/I/61MDqBnCaHS._AC_UL320_.jpg,1,17,17,True,0.0,USD,49.74,49.74,100.0,133,4.7
B08PVZKVL4,https://www.amazon.com/dp/B08PVZKVL4,1316.00,False,False,False,True,OneTouch Verio Test Strips and OneTouch Delica Plus Lancets for Diabetes Testing | 60-Count Value Pack (30 Lancets & 30 Te...,https://m.media-amazon.com/images/I/71bSUTFKsTL._AC_UL320_.jpg,1,18,18,False,0.0,USD,0.0,0.0,0.0,280,4.7
B00D47H9HS,https://www.amazon.com/dp/B00D47H9HS,4339.20,False,False,False,False,Prodigy No Coding Blood Glucose Test Strips 300 Count (50 Strips x 6 Packs),https://m.media-amazon.com/images/I/61KcPAiYeqL._AC_UL320_.jpg,1,19,19,True,0.0,USD,38.99,38.99,100.0,904,4.8
B07P731X7M,https://www.amazon.com/dp/B07P731X7M,629.80,False,False,False,True,"ReliOn 30G Ultra-Thin Lancets, 100-ct | ReliOn Prime Blood Glucose Test Strips, 25-ct | Bundled Set",https://m.media-amazon.com/images/I/41iOHSXBIML._AC_UL320_.jpg,1,20,20,True,0.0,USD,18.0,18.0,100.0,134,4.7
B00548VO44,https://www.amazon.com/dp/B00548VO44,469.20,False,False,False,False,Infinity Test Strips - 100 ct.,https://m.media-amazon.com/images/I/51kaUxtBrHL._AC_UL320_.jpg,1,21,21,False,0.0,USD,0.0,0.0,0.0,102,4.6
B00FQSEHPU,https://www.amazon.com/dp/B00FQSEHPU,180.00,False,False,False,True,Free Infinity Meter w/Purchase of 200 Test Strips (4 Boxes of 50 Ct= 200 Ct Total),https://m.media-amazon.com/images/I/91L6KiwfnkL._AC_UL320_.jpg,1,22,22,False,0.0,USD,0.0,0.0,0.0,40,4.5
B008LD1SF4,https://www.amazon.com/dp/B008LD1SF4,1053.00,False,False,False,True,On Call Plus Bundle Deal Savings 200 Ct Test Strips,https://m.media-amazon.com/images/I/51twY4pEp1L._AC_UL320_.jpg,1,23,23,False,0.0,USD,0.0,0.0,0.0,234,4.5
B08XYJ236V,https://www.amazon.com/dp/B08XYJ236V,1146.80,False,False,False,True,[CUROfit] CURO-G10 Glucose Test Strips : Included Total Glucose Test Strips 50 ea ( Device NOT Included),https://m.media-amazon.com/images/I/41OIo51vCdL._AC_UL320_.jpg,1,24,24,False,0.0,USD,0.0,0.0,0.0,244,4.7
B06WD5HRM8,https://www.amazon.com/dp/B06WD5HRM8,5322.20,False,False,False,True,"Easy Touch Eas-150 Easytouch Glucose Test Strip, 150 Count (Pack of 150)",https://m.media-amazon.com/images/I/51wBoCNWj3L._AC_UL320_.jpg,1,25,25,False,0.0,USD,0.0,0.0,0.0,1157,4.6
B00NOKWZLK,https://www.amazon.com/dp/B00NOKWZLK,7896.00,False,False,False,True,On Call Express Blood Glucose Test Strips (50 Count),https://m.media-amazon.com/images/I/61PiP7cEYBL._AC_UL320_.jpg,1,26,26,False,0.0,USD,0.0,0.0,0.0,1680,4.7
B09KC53JSV,https://www.amazon.com/dp/B09KC53JSV,68.00,False,False,False,True,"G-666BS Blood Glucose Test Strips Kit , 100 Test Strips and 25 Lancets for Diabetes , Diabetic Blood Test Strips 1",https://m.media-amazon.com/images/I/7187Kfk26NL._AC_UL320_.jpg,1,27,27,False,0.0,USD,0.0,0.0,0.0,17,4.0
B088JJJKQY,https://www.amazon.com/dp/B088JJJKQY,138.00,False,False,False,False,EasyMax Diabetic Test Strips 300 Count / 6 Boxes of 50,https://m.media-amazon.com/images/I/51GlfgRxv6L._AC_UL320_.jpg,1,28,28,False,0.0,USD,0.0,0.0,0.0,30,4.6
B009B7SK8M,https://www.amazon.com/dp/B009B7SK8M,1917.60,False,False,False,True,Sponsored Ad - The CONTOUR NEXT EZ Blood Glucose Monitoring System,https://m.media-amazon.com/images/I/812K0kH7A4L._AC_UL320_.jpg,1,29,29,False,0.0,USD,0.0,0.0,0.0,408,4.7
B0794DFH6F,https://www.amazon.com/dp/B0794DFH6F,45470.40,False,False,False,True,Sponsored Ad - Care Touch Blood Glucose Test Strips for Diabetes I For Use with Care Touch Blood Sugar Monitor - 1 Box of ...,https://m.media-amazon.com/images/I/71xi00Rr7WS._AC_UL320_.jpg,1,30,30,False,0.0,USD,0.0,0.0,0.0,9473,4.8
B09KC4TXZ7,https://www.amazon.com/dp/B09KC4TXZ7,364.00,False,False,False,True,"Sponsored Ad - Blood Sugar Test Kit, Diabetes Testing Kit with 100 Test Strips and 100 Lancets, Blood Glucose Monitor Kit ...",https://m.media-amazon.com/images/I/71fj8T3pULL._AC_UL320_.jpg,1,31,31,False,0.0,USD,0.0,0.0,0.0,91,4.0
B012SA4S3Y,https://www.amazon.com/dp/B012SA4S3Y,947.60,False,False,False,False,"WaveSense Presto Test Strips, 100 Count",https://m.media-amazon.com/images/I/61vFFr5TjOL._AC_UL320_.jpg,1,32,32,True,0.0,USD,21.92,21.92,100.0,206,4.6
B01M1ABCLI,https://www.amazon.com/dp/B01M1ABCLI,1651.20,False,False,False,True,TRUETRACK Blood Glucose Test Strips (300 Count),https://m.media-amazon.com/images/I/51TqGBgd2SL._AC_UL320_.jpg,1,33,33,False,0.0,USD,0.0,0.0,0.0,344,4.8
