asin,url,score,sponsored,amazonChoice,bestSeller,amazonPrime,title,thumbnail,position.page,position.position,position.global_position,price.discounted,price.current_price,price.currency,price.before_price,price.savings_amount,price.savings_percent,reviews.total_reviews,reviews.rating
B093GK1VYD,https://www.amazon.com/dp/B093GK1VYD,198.00,False,False,False,True,Blood Glucose Monitor - Diabetes Testing Kit with 100 Test Strips and 100 Lancets - Blood Glucose Meter with Lancing Devic...,https://m.media-amazon.com/images/I/71pre-8ou3S._AC_UL320_.jpg,1,19,19,False,0,USD,0.0,0.0,0,44,4.5
B073V38KDK,https://www.amazon.com/dp/B073V38KDK,5793.60,False,False,False,False,"FreeStyle Precision Neo Blood Glucose Test Strips - 50 ct, Pack of 2",https://m.media-amazon.com/images/I/61SGOpuMNPL._AC_UL320_.jpg,1,20,20,True,0,USD,51.0,51.0,100,1207,4.8
B07CF8C4VX,https://www.amazon.com/dp/B07CF8C4VX,33825.60,False,False,True,False,"CONTOUR NEXT Blood Glucose Test Strips, 70 Count",https://m.media-amazon.com/images/I/81aPkB4QWVL._AC_UL320_.jpg,1,21,21,True,0,USD,26.58,26.58,100,7047,4.8
B01F69L0U8,https://www.amazon.com/dp/B01F69L0U8,7852.80,False,False,False,False,Prodigy Test Strip Bundle (300ct),https://m.media-amazon.com/images/I/71mJJbR+oNL._AC_UL320_.jpg,1,22,22,False,0,USD,0.0,0.0,0,1636,4.8
B08L473F6W,https://www.amazon.com/dp/B08L473F6W,15792.00,False,False,False,True,OneTouch Verio Test Strips for Diabetes Value Pack - 60 Count | Diabetic Test Strips for Blood Sugar Monitor | at Home Sel...,https://m.media-amazon.com/images/I/719i6B5r-2L._AC_UL320_.jpg,1,23,23,False,0,USD,0.0,0.0,0,3290,4.8
B08GP43SFP,https://www.amazon.com/dp/B08GP43SFP,1546.30,False,False,False,False,Accu-Chek Softclix Diabetes Starter Kit for Blood Glucose Testing,https://m.media-amazon.com/images/I/61kUuJs+3UL._AC_UL320_.jpg,1,24,24,False,0,USD,0.0,0.0,0,329,4.7
B075VD1JTW,https://www.amazon.com/dp/B075VD1JTW,23424.80,False,False,False,False,Freestyle lite glucose test strips 50 count,https://m.media-amazon.com/images/I/61CsR+RulpL._AC_UL320_.jpg,1,25,25,True,0,USD,32.49,32.49,100,4984,4.7
B08L47PMX6,https://www.amazon.com/dp/B08L47PMX6,11880.00,False,False,False,False,OneTouch Verio Test Strips for Diabetes Value Pack - 90 Count | Diabetic Test Strips for Blood Sugar Monitor | at Home Sel...,https://m.media-amazon.com/images/I/710wyyf1QDL._AC_UL320_.jpg,1,26,26,True,0,USD,49.99,49.99,100,2475,4.8
B08DXNC949,https://www.amazon.com/dp/B08DXNC949,5677.60,False,False,False,True,TRUE METRIX® Meter Starter Kit,https://m.media-amazon.com/images/I/81tlCfsjL7L._AC_UL320_.jpg,1,27,27,False,0,USD,0.0,0.0,0,1208,4.7
B00OGXRQWW,https://www.amazon.com/dp/B00OGXRQWW,3148.80,False,False,False,False,GE100 Blood Glucose Test Strips - 4/Boxes of 50 Strips = 200/Total Strips,https://m.media-amazon.com/images/I/71tbZohociL._AC_UL320_.jpg,1,28,28,False,0,USD,0.0,0.0,0,656,4.8
B08FV1SVSW,https://www.amazon.com/dp/B08FV1SVSW,7595.20,False,False,False,True,The CONTOUR NEXT ONE Blood Glucose Monitoring System All-in-One Kit for Diabetes,https://m.media-amazon.com/images/I/81wt62hu8kL._AC_UL320_.jpg,1,29,29,False,0,USD,0.0,0.0,0,1616,4.7
B094DRQ926,https://www.amazon.com/dp/B094DRQ926,784.90,False,False,False,False,OneTouch Verio Test Strips for Diabetes Value Pack - 180 Count | Diabetic Test Strips for Blood Sugar Monitor | at Home Se...,https://m.media-amazon.com/images/I/71gbpZ72bwL._AC_UL320_.jpg,1,30,30,True,0,USD,99.99,99.99,100,167,4.7
B00CJAVTNQ,https://www.amazon.com/dp/B00CJAVTNQ,6878.40,False,False,False,True,CareSens N Blood Glucose Test Strips (50 ct) - Only for CareSens N Family Meter Kits,https://m.media-amazon.com/images/I/61Kn1IzmuXL._AC_UL320_.jpg,1,31,31,False,0,USD,0.0,0.0,0,1433,4.8
B08S6TRYJC,https://www.amazon.com/dp/B08S6TRYJC,4480.40,False,False,False,True,"On Call Express II Diabetes Testing Kit- Blood Glucose Meter, 100 Blood Test Strips, 1 Lancing Device, 100 30g Lancets, Co...",https://m.media-amazon.com/images/I/61AjWGq+eYL._AC_UL320_.jpg,1,32,32,False,0,USD,0.0,0.0,0,974,4.6
B00NF44GU8,https://www.amazon.com/dp/B00NF44GU8,4038.80,False,False,False,False,Ultra Test Strips Blue 25 Ct,https://m.media-amazon.com/images/I/71MpYaA-rQL._AC_UL320_.jpg,1,33,33,False,0,USD,0.0,0.0,0,878,4.6
B01AK8YDE0,https://www.amazon.com/dp/B01AK8YDE0,2119.70,False,False,False,True,PetTest Diabetes Blood Glucose Tests Strips for Dogs and Cats for use with PetTest Glucose Monitor (50 Strips),https://m.media-amazon.com/images/I/71G3imbXQwL._AC_UL320_.jpg,1,34,34,False,0,USD,0.0,0.0,0,451,4.7
B082RSBPT4,https://www.amazon.com/dp/B082RSBPT4,8441.00,False,False,False,True,"CareSens N Blood Diabetes Testing Kit with 100 Test Strips, 100 Lancets (30G), 1 Glucose Meter, 1 Control Solution, 1 Lanc...",https://m.media-amazon.com/images/I/71Ym9NKP6yL._AC_UL320_.jpg,1,35,35,False,0,USD,0.0,0.0,0,1835,4.6
B01HDWVFHO,https://www.amazon.com/dp/B01HDWVFHO,2350.60,False,False,False,True,"Contour Next EZ Diabetes Testing Kit | Contour Next EZ Blood Glucose Meter, 50 Contour Next Blood Glucose Test Strips, 50 ...",https://m.media-amazon.com/images/I/61O6ef7r0PL._AC_UL320_.jpg,1,36,36,False,0,USD,0.0,0.0,0,511,4.6
B08FXRYSPG,https://www.amazon.com/dp/B08FXRYSPG,13606.50,False,False,False,True,OneTouch Verio Test Strips for Diabetes - 30 Count | Diabetic Test Strips for Blood Sugar Monitor | at Home Self Glucose M...,https://m.media-amazon.com/images/I/716BlYUe9gL._AC_UL320_.jpg,1,37,37,False,0,USD,0.0,0.0,0,2895,4.7
B01M8KJG0A,https://www.amazon.com/dp/B01M8KJG0A,3609.60,False,False,False,True,TRUETRACK Test Strips 50ct (Pack of 4),https://m.media-amazon.com/images/I/61yn5VPkYAL._AC_UL320_.jpg,1,38,38,False,0,USD,0.0,0.0,0,752,4.8
B07G3BNXR6,https://www.amazon.com/dp/B07G3BNXR6,41039.20,False,False,False,True,DARIO Blood Glucose Monitor Kit Test Your Blood Sugar Levels and Estimate A1c After 3m. Kit Includes: Glucose-Meter with 2...,https://m.media-amazon.com/images/I/61oi8JnoYMS._AC_UL320_.jpg,1,39,39,False,0,USD,0.0,0.0,0,9544,4.3
B085WBVJZZ,https://www.amazon.com/dp/B085WBVJZZ,50635.20,False,False,False,True,TRUE METRIX Blood Glucose Test Strips NFRS 100ct (100 Test Strips),https://m.media-amazon.com/images/I/819izUDe3BL._AC_UL320_.jpg,1,40,40,True,0,USD,24.0,24.0,100,10549,4.8
